"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"5246","2015-2016","665533","Goodwin Learning Centre","Elementary",30,10,NA,NA,30,10,40,"Private"
"5247","2015-2016","884243","Grace Christian School","Elementary",90,97,NA,NA,90,97,187,"Private"
"5248","2015-2016","668497","Gradale Academy","Elementary",22,5,NA,NA,22,5,27,"Private"
"5249","2015-2016","887704","Grade Learning - Etobicoke","Secondary",NA,NA,NA,5,NA,5,5,"Private"
"5250","2015-2016","882045","Grade Learning - Mississauga Airport","Secondary",NA,NA,11,5,11,5,16,"Private"
"5251","2015-2016","667811","Grade Learning - Orillia","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"5252","2015-2016","667131","Grade Learning - Oshawa","Secondary",NA,NA,17,5,17,5,22,"Private"
"5253","2015-2016","665742","Grade Learning - Richmond Hill","Secondary",NA,NA,5,5,5,5,10,"Private"
"5254","2015-2016","669853","Grade Learning - Scarborough East","Secondary",NA,NA,5,5,5,5,10,"Private"
"5255","2015-2016","665579","Grade Learning - Toronto Central","Secondary",NA,NA,5,5,5,5,10,"Private"
"5256","2015-2016","885533","Grandview Adventist Academy","Elementary",28,34,NA,NA,28,34,62,"Private"
"5257","2015-2016","885118","Great Lakes Christian High School","Secondary",NA,NA,70,52,70,52,122,"Private"
"5258","2015-2016","889920","Great Lakes College of Toronto, The","Secondary",NA,NA,95,78,95,78,173,"Private"
"5259","2015-2016","668641","Green Apple Alternative School","Secondary",NA,NA,5,5,5,5,10,"Private"
"5260","2015-2016","666793","Green High School","Secondary",NA,NA,24,20,24,20,44,"Private"
"5261","2015-2016","877891","Greenock Amish Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"5262","2015-2016","666289","Greenwood College School","Elem/Sec",49,50,165,165,214,215,429,"Private"
"5263","2015-2016","665009","Gregory School for Exceptional Learning","Elem/Sec",5,NA,5,NA,11,NA,10,"Private"
"5264","2015-2016","885452","Guelph Community Christian School","Elementary",124,111,NA,NA,124,111,235,"Private"
"5265","2015-2016","877093","Guelph Montessori School","Elementary",37,29,NA,NA,37,29,66,"Private"
"5266","2015-2016","665671","Guiding Light Academy","Elementary",17,17,NA,NA,17,17,34,"Private"
"5267","2015-2016","889164","Guido de Bres Christian High School","Secondary",NA,NA,191,211,191,211,402,"Private"
"5268","2015-2016","667115","Guru Tegh Bahadur International School","Elem/Sec",33,35,10,5,43,NA,83,"Private"
"5269","2015-2016","884994","Haadi Elementary School","Elementary",37,40,NA,NA,37,40,77,"Private"
"5270","2015-2016","885398","Halton Hills Christian School","Elementary",155,129,NA,NA,155,129,284,"Private"
"5271","2015-2016","883700","Halton Waldorf School","Elementary",84,71,NA,NA,84,71,155,"Private"
"5272","2015-2016","885060","Hamilton Academy of Performing Arts","Elem/Sec",5,17,NA,5,5,NA,27,"Private"
"5273","2015-2016","885541","Hamilton District Christian Private Scho","Secondary",NA,NA,231,219,231,219,450,"Private"
"5274","2015-2016","885550","Hamilton Hebrew Academy Zichron Meir","Elementary",72,50,NA,NA,72,50,122,"Private"
"5275","2015-2016","883788","Hamilton Hebrew High","Secondary",NA,NA,5,5,5,5,10,"Private"
"5276","2015-2016","665843","Hanson International Academy","Secondary",NA,NA,12,NA,12,NA,12,"Private"
"5277","2015-2016","884596","Harwood Montessori School Inc","Elementary",17,17,NA,NA,17,17,34,"Private"
"5278","2015-2016","884685","Hatch House Montessori","Elementary",30,31,NA,NA,30,31,61,"Private"
"5279","2015-2016","887242","Havergal College","Elem/Sec",NA,452,NA,520,NA,972,972,"Private"
"5280","2015-2016","884863","Hawthorn School for Girls","Elem/Sec",5,70,NA,35,5,105,110,"Private"
"5281","2015-2016","889971","Headwater Hills Montessori School","Elementary",14,14,NA,NA,14,14,28,"Private"
"5282","2015-2016","876500","Heritage Academy","Elem/Sec",34,16,35,18,69,34,103,"Private"
"5283","2015-2016","880078","Heritage Christian Academy","Elem/Sec",36,35,5,10,NA,45,86,"Private"
"5284","2015-2016","880272","Heritage Christian School","Elementary",29,25,NA,NA,29,25,54,"Private"
"5285","2015-2016","875864","Heritage Christian School","Elem/Sec",218,227,93,91,311,318,629,"Private"
"5286","2015-2016","885053","Heritage Community Christian School","Elementary",22,27,NA,NA,22,27,49,"Private"
"5287","2015-2016","881112","Hidden Valley Amish Private School","Elementary",14,10,NA,NA,14,10,24,"Private"
"5288","2015-2016","665192","High Park Day School","Elementary",17,5,NA,NA,17,5,22,"Private"
"5289","2015-2016","880833","High Park Gardens Montessori School","Elementary",38,33,NA,NA,38,33,71,"Private"
"5290","2015-2016","668650","Higher Marks Educational Institute","Elem/Sec",11,5,5,5,NA,10,26,"Private"
"5291","2015-2016","882713","Highland Academy of Canada","Secondary",NA,NA,5,5,5,5,10,"Private"
"5292","2015-2016","882850","Hill Academy, The","Elem/Sec",14,NA,129,17,143,17,160,"Private"
"5293","2015-2016","887579","Hillcrest Amish Private School","Elementary",10,11,NA,NA,10,11,21,"Private"
"5294","2015-2016","880698","Hillcrest Private School","Elementary",13,15,NA,NA,13,15,28,"Private"
"5295","2015-2016","885568","Hillfield Strathallan College","Elem/Sec",332,292,265,191,597,483,1080,"Private"
"5296","2015-2016","888184","Hillview Christian Day School","Elem/Sec",10,5,5,5,NA,10,25,"Private"
"5297","2015-2016","875660","Hitherfield School","Elementary",33,30,NA,NA,33,30,63,"Private"
"5298","2015-2016","665226","Holy Name of Mary College School","Elem/Sec",NA,74,NA,165,NA,239,239,"Private"
"5299","2015-2016","881481","Holy Trinity Private School","Elem/Sec",177,199,180,173,357,372,729,"Private"
"5300","2015-2016","668940","Holyrood East Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
