"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","Enrolment","Public_Private"
"985","2017-2018","885799","St. Laurent Academy Inc","Elem/Sec",64,27,19,5,83,NA,115,"Private"
"986","2017-2018","668619","St. Lawrence Academy, The","Elementary",21,18,NA,NA,21,18,39,"Private"
"987","2017-2018","875309","St. Peter's A.C.H.S. College School","Elementary",15,NA,NA,NA,15,NA,15,"Private"
"988","2017-2018","886351","St. Thomas Community Christian School","Elementary",66,66,NA,NA,66,66,132,"Private"
"989","2017-2018","878561","St. Thomas of Villanova College School","Elem/Sec",79,68,201,224,280,292,572,"Private"
"990","2017-2018","667099","St. Timothy's Classical  Academy","Elementary",39,28,NA,NA,39,28,67,"Private"
"991","2017-2018","883332","Stanford Academy","Secondary",NA,NA,17,5,17,5,22,"Private"
"992","2017-2018","668877","Star Academy","Elementary",36,11,NA,NA,36,11,47,"Private"
"993","2017-2018","666012","Sterling Education - Rideau Lakes","Elem/Sec",5,5,5,5,11,11,20,"Private"
"994","2017-2018","669276","Sterling Great Lakes - Mossley  Campus","Elem/Sec",15,13,5,11,NA,24,44,"Private"
"995","2017-2018","884189","Sterling Hall School, The","Elementary",313,NA,NA,NA,313,NA,313,"Private"
"996","2017-2018","669302","Sterling North Campus - Hamilton Site","Elem/Sec",21,24,21,15,42,39,81,"Private"
"997","2017-2018","669099","Stirling Montessori Academy Inc","Elementary",5,5,NA,NA,5,5,10,"Private"
"998","2017-2018","666142","Stone Haven Parochial School","Elementary",5,5,NA,NA,5,5,10,"Private"
"999","2017-2018","881554","Stouffville Christian School","Elementary",67,56,NA,NA,67,56,123,"Private"
"1000","2017-2018","884266","Strata Montessori Adolescent School","Elem/Sec",12,11,5,5,NA,NA,33,"Private"
"1001","2017-2018","889695","Stratford District Christian School","Elementary",62,67,NA,NA,62,67,129,"Private"
"1002","2017-2018","889120","Stratford Middle Years School","Elementary",23,17,NA,NA,23,17,40,"Private"
"1003","2017-2018","886459","Strathroy Community Christian","Elementary",104,81,NA,NA,104,81,185,"Private"
"1004","2017-2018","878464","Streetsville Academy Elementary School","Elementary",18,5,NA,NA,18,5,23,"Private"
"1005","2017-2018","667183","SuOn International Academy","Secondary",NA,NA,174,143,174,143,317,"Private"
"1006","2017-2018","883310","Sudbury Christian Academy","Elementary",23,28,NA,NA,23,28,51,"Private"
"1007","2017-2018","665668","Suffah Academy of Learning","Elementary",39,39,NA,NA,39,39,78,"Private"
"1008","2017-2018","667840","Summit College - Brantford","Elem/Sec",NA,NA,5,5,5,5,10,"Private"
"1009","2017-2018","669746","Summit College - Cambridge","Elem/Sec",5,NA,5,NA,5,NA,10,"Private"
"1010","2017-2018","889704","Summit College - Guelph","Elem/Sec",NA,NA,5,5,5,5,10,"Private"
"1011","2017-2018","668482","Summit College - Hamilton","Elem/Sec",NA,NA,5,NA,5,NA,5,"Private"
"1012","2017-2018","669487","Summit College - Kitchener","Elem/Sec",5,5,5,5,5,5,20,"Private"
"1013","2017-2018","667156","Summit College - Milton","Elem/Sec",NA,5,5,5,5,5,15,"Private"
"1014","2017-2018","668873","Summit College - St. Catharines","Elem/Sec",NA,5,5,5,5,5,15,"Private"
"1015","2017-2018","880004","Summit College - Stratford","Elem/Sec",NA,NA,5,NA,5,NA,5,"Private"
"1016","2017-2018","888150","Sunnybrook","Elementary",77,59,NA,NA,77,59,136,"Private"
"1017","2017-2018","667501","Sunrise Montessori School","Elementary",98,87,NA,NA,98,87,185,"Private"
"1018","2017-2018","884369","Sunshine Montessori School","Elementary",85,84,NA,NA,85,84,169,"Private"
"1019","2017-2018","879045","Sunway College (Cdn Pgm)","Secondary",NA,NA,645,550,645,550,1195,"Private"
"1020","2017-2018","881864","T.E.A.M. School","Elem/Sec",83,42,24,5,107,NA,154,"Private"
"1021","2017-2018","878510","TAIE International Institute","Secondary",NA,NA,176,121,176,121,297,"Private"
"1022","2017-2018","884892","TBMS-Canada's International School","Elementary",5,5,NA,NA,5,5,10,"Private"
"1023","2017-2018","876313","TFS","Secondary",NA,NA,26,21,26,21,47,"Private"
"1024","2017-2018","665064","TMS School - Bayview","Elementary",211,204,NA,NA,211,204,415,"Private"
"1025","2017-2018","885797","TMS School - Elgin Mills","Elem/Sec",38,41,68,82,106,123,229,"Private"
"1026","2017-2018","882025","Taddle Creek Montessori School","Elementary",53,40,NA,NA,53,40,93,"Private"
"1027","2017-2018","885040","Talenta Academy","Secondary",NA,NA,94,93,94,93,187,"Private"
"1028","2017-2018","884081","Tall Pines School","Elementary",183,156,NA,NA,183,156,339,"Private"
"1029","2017-2018","666855","Tamarack West Outdoor School","Elementary",11,5,NA,NA,11,5,16,"Private"
"1030","2017-2018","887170","TanenbaumCHAT Wallenberg Campus","Secondary",NA,NA,434,440,434,440,874,"Private"
"1031","2017-2018","666351","Tapply Binet College","Secondary",NA,NA,5,5,5,5,10,"Private"
"1032","2017-2018","668379","Tarbiyah Elementary School","Elementary",61,102,NA,NA,61,102,163,"Private"
"1033","2017-2018","669947","Tarbiyah Learning","Elementary",37,37,NA,NA,37,37,74,"Private"
"1034","2017-2018","877743","Tawingo College","Elementary",24,13,NA,NA,24,13,37,"Private"
"1035","2017-2018","879010","Taylor's College","Secondary",NA,NA,88,78,88,78,166,"Private"
"1036","2017-2018","881156","Tayyibah Islamic Academy Inc.","Elem/Sec",11,23,NA,21,11,44,55,"Private"
"1037","2017-2018","666688","Thaler's Amish Parochial School","Elementary",12,12,NA,NA,12,12,24,"Private"
"1038","2017-2018","669489","The Ambassadors of God Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"1039","2017-2018","667064","The Boundless School","Secondary",NA,NA,10,5,10,5,15,"Private"
"1040","2017-2018","885584","The Country Day School","Elem/Sec",231,196,147,199,378,395,773,"Private"
"1041","2017-2018","888750","The Educators Academy","Secondary",NA,NA,5,NA,5,NA,5,"Private"
"1042","2017-2018","886025","The Element","Elem/Sec",11,11,12,5,23,NA,39,"Private"
"1043","2017-2018","883442","The Erindale Academy","Secondary",NA,NA,16,14,16,14,30,"Private"
"1044","2017-2018","667258","The Laurel School","Elementary",20,10,NA,NA,20,10,30,"Private"
"1045","2017-2018","884612","The Lighthouse Learning and Development","Elem/Sec",15,5,5,NA,NA,5,25,"Private"
"1046","2017-2018","882978","The London School","Elem/Sec",5,5,5,5,10,5,20,"Private"
"1047","2017-2018","665806","The Maples Independent Country","Elementary",36,34,NA,NA,36,34,70,"Private"
"1048","2017-2018","669642","The Orchard Montessori School Ltd. (Elem","Elementary",11,5,NA,NA,11,5,16,"Private"
"1049","2017-2018","665121","The Study Academy","Elem/Sec",40,5,24,12,64,NA,81,"Private"
"1050","2017-2018","665739","The Talent Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1051","2017-2018","881961","The Toronto French School - Mississauga","Elementary",79,84,NA,NA,79,84,163,"Private"
"1052","2017-2018","669039","The Wisdom House of Education","Elementary",5,5,NA,NA,5,5,10,"Private"
"1053","2017-2018","884326","The York School","Elementary",223,197,NA,NA,223,197,420,"Private"
"1054","2017-2018","881756","Thinnox Academy, The","Secondary",NA,NA,5,5,5,5,10,"Private"
"1055","2017-2018","663530","Thomas Fiddler Memorial Private High Sch","Secondary",NA,NA,63,51,63,51,114,"Private"
"1056","2017-2018","884545","Thornhill Amish Private School","Elementary",5,18,NA,NA,5,18,23,"Private"
"1057","2017-2018","668829","Thornton Academy","Elem/Sec",5,5,NA,5,5,5,15,"Private"
"1058","2017-2018","668569","Three Bridges Old Colony Christian Schoo","Elementary",35,34,NA,NA,35,34,69,"Private"
"1059","2017-2018","877395","Three Fishes Christian Elementary School","Elementary",28,19,NA,NA,28,19,47,"Private"
"1060","2017-2018","886203","Thunder Bay Christian School","Elem/Sec",59,52,5,5,NA,NA,121,"Private"
"1061","2017-2018","666181","Tiferes Bais Yaakov High School","Secondary",NA,NA,NA,96,NA,96,96,"Private"
"1062","2017-2018","665607","Tillsonburg Christian School","Elementary",63,56,NA,NA,63,56,119,"Private"
"1063","2017-2018","886068","Timothy Canadian Reformed School","Elementary",138,130,NA,NA,138,130,268,"Private"
"1064","2017-2018","885770","Timothy Christian School","Elementary",34,35,NA,NA,34,35,69,"Private"
"1065","2017-2018","885096","Timothy Christian School","Elementary",111,111,NA,NA,111,111,222,"Private"
"1066","2017-2018","889458","Timothy Christian School","Elementary",31,42,NA,NA,31,42,73,"Private"
"1067","2017-2018","886831","Timothy Christian School","Elementary",81,69,NA,NA,81,69,150,"Private"
"1068","2017-2018","882853","Todd Parochial","Elementary",15,15,NA,NA,15,15,30,"Private"
"1069","2017-2018","882432","Tollgate Parochial","Elementary",15,11,NA,NA,15,11,26,"Private"
"1070","2017-2018","878065","Torah Academy of Ottawa Elementary Schoo","Elementary",50,72,NA,NA,50,72,122,"Private"
"1071","2017-2018","668220","Torah High","Secondary",NA,NA,77,59,77,59,136,"Private"
"1072","2017-2018","883462","Torah High - Maple","Secondary",NA,NA,33,21,33,21,54,"Private"
"1073","2017-2018","886634","Torah High - Thornhill","Secondary",NA,NA,76,71,76,71,147,"Private"
"1074","2017-2018","667402","Torah High - Toronto","Secondary",NA,NA,16,16,16,16,32,"Private"
"1075","2017-2018","883058","Torah High Ottawa","Secondary",NA,NA,27,19,27,19,46,"Private"
"1076","2017-2018","668674","Toronto Berkshire Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1077","2017-2018","885489","Toronto Central Academy","Secondary",NA,NA,81,41,81,41,122,"Private"
"1078","2017-2018","877140","Toronto Cheder, The","Elementary",322,NA,NA,NA,322,NA,322,"Private"
"1079","2017-2018","886777","Toronto District Christian High School","Secondary",NA,NA,219,180,219,180,399,"Private"
"1080","2017-2018","886520","Toronto Eschool","Secondary",NA,NA,5,5,5,5,10,"Private"
"1081","2017-2018","666718","Toronto French Montessori School","Elementary",27,19,NA,NA,27,19,46,"Private"
"1082","2017-2018","887072","Toronto French School","Elem/Sec",390,417,181,222,571,639,1210,"Private"
"1083","2017-2018","883858","Toronto Harvard International Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1084","2017-2018","877638","Toronto Heschel School, The","Elementary",133,166,NA,NA,133,166,299,"Private"
"1085","2017-2018","882401","Toronto High School","Secondary",NA,NA,11,5,11,5,16,"Private"
"1086","2017-2018","666629","Toronto International Academy","Secondary",NA,NA,29,23,29,23,52,"Private"
"1087","2017-2018","889220","Toronto International Academy Oakville","Secondary",NA,NA,5,10,5,10,15,"Private"
"1088","2017-2018","665800","Toronto International College","Secondary",NA,NA,42,33,42,33,75,"Private"
"1089","2017-2018","669195","Toronto International Collegiate","Secondary",NA,NA,5,5,5,5,10,"Private"
"1090","2017-2018","668934","Toronto Nobel Academy","Secondary",NA,NA,15,12,15,12,27,"Private"
"1091","2017-2018","884767","Toronto Prep School","Elem/Sec",36,37,187,107,223,144,367,"Private"
"1092","2017-2018","887790","Toronto Waldorf School","Elem/Sec",116,95,37,36,153,131,284,"Private"
"1093","2017-2018","883875","Town Centre Private School - Pre-School","Elementary",385,343,NA,NA,385,343,728,"Private"
"1094","2017-2018","666810","Town Centre Private Schools - High Schoo","Secondary",NA,NA,86,56,86,56,142,"Private"
"1095","2017-2018","886700","Trafalgar Castle School","Elem/Sec",NA,64,NA,160,NA,224,224,"Private"
"1096","2017-2018","665967","Trafalgar Ridge Montessori School","Elementary",42,39,NA,NA,42,39,81,"Private"
"1097","2017-2018","884483","Trail Ridge Montessori School","Elementary",23,29,NA,NA,23,29,52,"Private"
"1098","2017-2018","665231","Trails Youth Initiatives","Secondary",NA,NA,31,32,31,32,63,"Private"
"1099","2017-2018","886572","Trenton Christian","Elementary",73,75,NA,NA,73,75,148,"Private"
"1100","2017-2018","879380","Trillium International School","Secondary",NA,NA,5,5,5,5,10,"Private"
"1101","2017-2018","875511","Trillium School","Elem/Sec",147,106,13,5,160,NA,271,"Private"
"1102","2017-2018","877549","Trillium Waldorf School","Elementary",88,80,NA,NA,88,80,168,"Private"
"1103","2017-2018","885240","Trinity Christian School","Elementary",128,112,NA,NA,128,112,240,"Private"
"1104","2017-2018","886254","Trinity College School","Elem/Sec",56,54,248,217,304,271,575,"Private"
"1105","2017-2018","884170","Trinity Grace Academy","Elementary",24,21,NA,NA,24,21,45,"Private"
"1106","2017-2018","665215","Trinity Montessori School","Elementary",35,38,NA,NA,35,38,73,"Private"
"1107","2017-2018","886194","Triple Hills","Elementary",11,5,NA,NA,11,5,16,"Private"
"1108","2017-2018","884816","True North Academy","Elementary",20,21,NA,NA,20,21,41,"Private"
"1109","2017-2018","876496","True North Christian Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"1110","2017-2018","665506","True North Christian Academy","Elementary",5,5,NA,NA,5,5,10,"Private"
"1111","2017-2018","876305","Turnberry Parochial School","Elementary",5,12,NA,NA,5,12,17,"Private"
"1112","2017-2018","668681","Turnbull School","Elementary",216,133,NA,NA,216,133,349,"Private"
"1113","2017-2018","666482","UMC High School","Elem/Sec",5,5,81,64,NA,NA,155,"Private"
"1114","2017-2018","888748","UMC North York Centre","Secondary",NA,NA,74,90,74,90,164,"Private"
"1115","2017-2018","668410","UMCA Rich Tree Academy","Elem/Sec",66,70,24,14,90,84,174,"Private"
"1116","2017-2018","881623","USCA Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1117","2017-2018","881924","UT Preparatory Academy","Secondary",NA,NA,13,5,13,5,18,"Private"
"1118","2017-2018","884350","Uchenna Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1119","2017-2018","665614","Um Al-Qura Islamic School","Elem/Sec",61,72,NA,NA,61,72,133,"Private"
"1120","2017-2018","665201","Ummati School","Elementary",18,26,NA,NA,18,26,44,"Private"
"1121","2017-2018","669565","Umu Khalid Islamic School","Elementary",5,5,NA,NA,5,5,10,"Private"
"1122","2017-2018","877433","Unionville Montessori School","Elementary",533,501,NA,NA,533,501,1034,"Private"
"1123","2017-2018","884124","Unique Chinese School - 1","Elementary",38,46,NA,NA,38,46,84,"Private"
"1124","2017-2018","665953","Unique Chinese School - 2","Elementary",48,37,NA,NA,48,37,85,"Private"
"1125","2017-2018","885800","United Mennonite Educational Institute","Secondary",NA,NA,34,40,34,40,74,"Private"
"1126","2017-2018","667366","Unity Christian High School","Secondary",NA,NA,34,38,34,38,72,"Private"
"1127","2017-2018","667503","University Learning Academy","Secondary",NA,NA,112,78,112,78,190,"Private"
"1128","2017-2018","667510","University of Toronto Schools","Elem/Sec",100,104,280,289,380,393,773,"Private"
"1129","2017-2018","886858","Upper Canada College","Elem/Sec",417,NA,747,NA,1164,NA,1164,"Private"
"1130","2017-2018","668518","Upper York School","Secondary",NA,NA,5,5,5,5,10,"Private"
"1131","2017-2018","669951","Upper York Secondary School","Secondary",NA,NA,5,5,5,5,10,"Private"
"1132","2017-2018","889474","Upsala Christian School","Elem/Sec",5,5,5,5,5,5,20,"Private"
"1133","2017-2018","885115","Urban International School","Secondary",NA,NA,13,32,13,32,45,"Private"
"1134","2017-2018","876453","Uxbridge Montessori School","Elementary",26,33,NA,NA,26,33,59,"Private"
"1135","2017-2018","669890","VIP Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1136","2017-2018","886962","Vaughan Baptist Christian Academy","Elem/Sec",5,5,5,5,10,5,20,"Private"
"1137","2017-2018","666098","Vaughan College","Secondary",NA,NA,16,10,16,10,26,"Private"
"1138","2017-2018","881813","Venta Preparatory Secondary School","Elem/Sec",41,23,12,5,53,NA,81,"Private"
"1139","2017-2018","882681","Vert Casa Montessori Academy","Elementary",12,5,NA,NA,12,5,17,"Private"
"1140","2017-2018","663263","Vezina","Secondary",NA,NA,55,75,55,75,130,"Private"
"1141","2017-2018","669995","Vianney Academy of Learning","Elementary",5,11,NA,NA,5,11,16,"Private"
"1142","2017-2018","889669","Victoria Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1143","2017-2018","666199","Victoria International Academy","Secondary",NA,NA,5,5,5,5,10,"Private"
"1144","2017-2018","669153","Victus Academy","Elem/Sec",16,5,36,5,52,5,62,"Private"
"1145","2017-2018","667785","Vinci School Ottawa","Elementary",5,5,NA,NA,5,5,10,"Private"
"1146","2017-2018","665347","Virgil Old Colony Christian School","Elementary",68,62,NA,NA,68,62,130,"Private"
"1147","2017-2018","883303","Virtual Elementary School","Elementary",28,42,NA,NA,28,42,70,"Private"
"1148","2017-2018","665681","Virtual High School","Secondary",NA,NA,1795,1625,1795,1625,3420,"Private"
"1149","2017-2018","665142","Voice Integrative Private School","Elementary",46,52,NA,NA,46,52,98,"Private"
"1150","2017-2018","663727","Wahsa Distance Education Centre","Secondary",NA,NA,298,477,298,477,775,"Private"
"1151","2017-2018","667399","Walden International School","Elem/Sec",13,11,NA,NA,13,11,24,"Private"
"1152","2017-2018","884693","Waldorf Academy","Elementary",76,73,NA,NA,76,73,149,"Private"
"1153","2017-2018","669384","Wales College Secondary School","Secondary",NA,NA,45,27,45,27,72,"Private"
"1154","2017-2018","881389","Wali ul Asr School","Elem/Sec",88,86,37,37,125,123,248,"Private"
"1155","2017-2018","888393","Wali ul Asr School - Niagara Campus","Elementary",25,31,NA,NA,25,31,56,"Private"
"1156","2017-2018","881974","Wali ul Asr School -GTA East Campus","Elem/Sec",82,104,11,14,93,118,211,"Private"
"1157","2017-2018","665704","Wali ul Asr School -GTA West Campus","Elementary",99,112,NA,NA,99,112,211,"Private"
"1158","2017-2018","886610","Wallaceburg Christian Private School","Elementary",41,38,NA,NA,41,38,79,"Private"
"1159","2017-2018","876852","Walsingham Christian School","Elementary",106,90,NA,NA,106,90,196,"Private"
"1160","2017-2018","668370","Waterloo Independent Secondary School","Secondary",NA,NA,29,12,29,12,41,"Private"
"1161","2017-2018","883796","Webtree Internatinal School of Excellenc","Secondary",NA,NA,5,5,5,5,10,"Private"
