School Number,School Name,School Level,Public_Private,Enrolment,Academic Year
745006,Our Lady of La Salette Sep S,Elementary,Public,85,2014-2015
749125,Our Lady of Providence C Elem S,Elementary,Public,364,2014-2015
753084,Resurrection S,Elementary,Public,137,2014-2015
762756,Sacred Heart C Elem S,Elementary,Public,269,2014-2015
759309,Sacred Heart S,Elementary,Public,233,2014-2015
751898,St John's College,Secondary,Public,1128,2014-2015
704940,St. Basil C Elem S,Elementary,Public,335,2014-2015
779067,St. Bernard of Clairvaux S,Elementary,Public,167,2014-2015
782050,St. Cecilia's S,Elementary,Public,153,2014-2015
789984,St. Frances Cabrini S,Elementary,Public,243,2014-2015
793256,St. Gabriel Catholic (Elem) S,Elementary,Public,446,2014-2015
810827,St. Joseph's S,Elementary,Public,459,2014-2015
818453,St. Leo S,Elementary,Public,230,2014-2015
831450,St. Mary's S,Elementary,Public,132,2014-2015
834831,St. Michael's S,Elementary,Public,93,2014-2015
834963,St. Michael's S,Elementary,Public,205,2014-2015
840530,St. Patrick S,Elementary,Public,129,2014-2015
840556,St. Patrick's S,Elementary,Public,147,2014-2015
844977,St. Peter S,Elementary,Public,159,2014-2015
846791,St. Pius X C Elem S,Elementary,Public,267,2014-2015
850950,St. Stephen's S,Elementary,Public,128,2014-2015
853038,St. Theresa S,Elementary,Public,170,2014-2015
711985,Holy Family,Elementary,Public,254,2014-2015
721255,Immaculate Conception Sep S,Elementary,Public,276,2014-2015
710296,Mary Immaculate Community,Elementary,Public,118,2014-2015
732800,Mother Teresa,Elementary,Public,214,2014-2015
737399,Notre Dame Catholic S,Elementary,Public,350,2014-2015
759430,Sacred Heart HS,Secondary,Public,657,2014-2015
732133,Sacred Heart S,Elementary,Public,151,2014-2015
864218,Sacred Heart Sep S,Elementary,Public,82,2014-2015
774332,St Anthony's Sep S,Elementary,Public,331,2014-2015
776602,St Basil's Sep S,Elementary,Public,385,2014-2015
751464,St Joseph's S,Elementary,Public,212,2014-2015
776599,St Mary's HS,Secondary,Public,732,2014-2015
705098,St Peter's & St Paul's Sep S,Elementary,Public,127,2014-2015
689610,Bishop Macdonell Sep S,Elementary,Public,220,2014-2015
715131,Holy Cross S,Elementary,Public,536,2014-2015
828203,Holy Name of Mary Sep S,Elementary,Public,300,2014-2015
821553,Holy Trinity C Elem S,Elementary,Public,168,2014-2015
715190,Holy Trinity Catholic SS,Secondary,Public,537,2014-2015
721646,Immaculate Conception Sep S,Elementary,Public,182,2014-2015
696269,Iona Academy,Elementary,Public,188,2014-2015
691127,J L Jordan Sep S,Elementary,Public,116,2014-2015
753670,Mother Teresa Catholic,Elementary,Public,412,2014-2015
736457,Notre Dame Catholic HS,Secondary,Public,513,2014-2015
697630,Notre Dame Catholic Sep S,Elementary,Public,195,2014-2015
741361,Our Lady of Good Counsel Sep S,Elementary,Public,131,2014-2015
750646,Pope John Paul II Regional E S,Elementary,Public,156,2014-2015
759040,Sacred Heart S,Elementary,Public,236,2014-2015
758787,Sacred Heart of Jesus Sep S,Elementary,Public,88,2014-2015
769312,St Andrew's Sep S,Elementary,Public,228,2014-2015
771651,St Anne's S,Elementary,Public,331,2014-2015
785040,St Columban's Catholic Elementary S,Elementary,Public,194,2014-2015
788686,St Edward's S,Elementary,Public,104,2014-2015
806102,St Finnan's Catholic S,Elementary,Public,142,2014-2015
751502,St Francis Xavier Catholic HS,Secondary,Public,291,2014-2015
792365,St Francis Xavier E S,Elementary,Public,122,2014-2015
792322,St Francis Xavier Sep S,Elementary,Public,150,2014-2015
791938,St Francis de Sales Sep S,Elementary,Public,193,2014-2015
794538,St George's Sep S,Elementary,Public,79,2014-2015
799602,St James the Greater Sep S,Elementary,Public,193,2014-2015
803022,St John Bosco Catholic S,Elementary,Public,268,2014-2015
804800,St John Catholic HS,Secondary,Public,566,2014-2015
802700,St John E S,Elementary,Public,338,2014-2015
806277,St Joseph's SS,Secondary,Public,750,2014-2015
725374,St Joseph's Sep S,Elementary,Public,183,2014-2015
813907,St Joseph's Sep S,Elementary,Public,354,2014-2015
736201,St Jude's Catholic Elementary S,Elementary,Public,304,2014-2015
824593,St Mary's HS,Secondary,Public,545,2014-2015
828726,St Mary's Sep S,Elementary,Public,148,2014-2015
828874,St Mary's Sep S,Elementary,Public,228,2014-2015
828980,St Mary's Sep S,Elementary,Public,169,2014-2015
830283,St Mary-St Cecilia Catholic,Elementary,Public,202,2014-2015
726176,St Matthew Catholic Secondary School,Secondary,Public,120,2014-2015
832502,St Michael E S,Elementary,Public,227,2014-2015
832480,St Michael HS,Secondary,Public,509,2014-2015
753602,St Patrick Catholic E S,Elementary,Public,265,2014-2015
844713,St Peter's S,Elementary,Public,146,2014-2015
773450,St. Gregory Catholic,Elementary,Public,389,2014-2015
680764,St. John Intermediate School,Elementary,Public,131,2014-2015
803065,St. Luke Catholic HS,Secondary,Public,105,2014-2015
818968,St. Luke Catholic S,Elementary,Public,56,2014-2015
814555,St. Mark Catholic S,Elementary,Public,360,2014-2015
765428,St. Matthew Catholic Elementary School,Elementary,Public,5,2014-2015
733067,St. Thomas Aquinas Catholic HS,Secondary,Public,391,2014-2015
773026,St. Thomas Aquinas Catholic S,Elementary,Public,194,2014-2015
900516,Centre d'éducation et de formation de,Secondary,Public,201,2014-2015
196502,É Élém L'Académie de la Seigneurie,Elementary,Public,217,2014-2015
488291,ÉEP Carrefour Jeunesse,Elementary,Public,339,2014-2015
412597,ÉEP Charlotte Lemieux,Elementary,Public,498,2014-2015
000230,ÉEP Cité Jeunesse,Elementary,Public,256,2014-2015
079839,ÉEP De la Rivière Castor,Elementary,Public,207,2014-2015
138681,ÉEP De la Salle,Elementary,Public,382,2014-2015
417726,ÉEP Des Sentiers,Elementary,Public,448,2014-2015
419796,ÉEP Francojeunesse,Elementary,Public,590,2014-2015
204986,ÉEP Gabrielle-Roy,Elementary,Public,538,2014-2015
215970,ÉEP Gisèle-Lalonde,Elementary,Public,341,2014-2015
194239,ÉEP Jeanne-Sauvé,Elementary,Public,393,2014-2015
287180,ÉEP Kanata,Elementary,Public,538,2014-2015
302864,ÉEP L'Héritage,Elementary,Public,62,2014-2015
156108,ÉEP L'Odyssée,Elementary,Public,409,2014-2015
439568,ÉEP L'Équinoxe,Elementary,Public,176,2014-2015
540030,ÉEP Le Prélude,Elementary,Public,433,2014-2015
313190,ÉEP Le Sommet,Elementary,Public,112,2014-2015
156051,ÉEP Le Trillium,Elementary,Public,180,2014-2015
323187,ÉEP Louis-Riel,Elementary,Public,230,2014-2015
384771,ÉEP Madeleine-de-Roybon,Elementary,Public,374,2014-2015
488550,ÉEP Marc-Garneau,Elementary,Public,34,2014-2015
164852,ÉEP Marie-Curie,Elementary,Public,357,2014-2015
247352,ÉEP Maurice-Lapointe,Elementary,Public,417,2014-2015
327445,ÉEP Michaëlle-Jean,Elementary,Public,625,2014-2015
064491,ÉEP Mille-Iles,Elementary,Public,53,2014-2015
250627,ÉEP Nouvel Horizon,Elementary,Public,228,2014-2015
156035,ÉEP Omer-Deslauriers,Elementary,Public,210,2014-2015
383392,ÉEP Rose des Vents,Elementary,Public,449,2014-2015
195774,ÉEP Séraphin-Marion,Elementary,Public,316,2014-2015
383376,ÉEP Terre des Jeunes,Elementary,Public,147,2014-2015
559458,ÉEP Trille des Bois,Elementary,Public,362,2014-2015
014764,ÉI L'Équinoxe,Elementary,Public,44,2014-2015
898582,ÉS L'Académie de la Seigneurie,Secondary,Public,62,2014-2015
922609,ÉS des adultes Le Carrefour,Secondary,Public,533,2014-2015
907430,ÉSP De La Salle,Secondary,Public,740,2014-2015
912662,ÉSP Gisèle-Lalonde,Secondary,Public,608,2014-2015
920550,ÉSP L'Alternative,Secondary,Public,104,2014-2015
907464,ÉSP L'Héritage,Secondary,Public,117,2014-2015
907480,ÉSP L'Équinoxe,Secondary,Public,35,2014-2015
949540,ÉSP Le Sommet,Secondary,Public,256,2014-2015
904945,ÉSP Louis-Riel,Secondary,Public,536,2014-2015
901539,ÉSP Marc-Garneau,Secondary,Public,70,2014-2015
930144,ÉSP Maurice-Lapointe,Secondary,Public,71,2014-2015
907472,ÉSP Mille-Iles,Secondary,Public,36,2014-2015
907421,ÉSP Omer-Deslauriers,Secondary,Public,379,2014-2015
860919,Centre de formation pour adultes,Secondary,Public,23,2014-2015
707880,É Élém C Frère André,Elementary,Public,377,2014-2015
708054,É Élém C Georges P Vanier,Elementary,Public,321,2014-2015
732400,É Élém C Monseigneur Augustin Caron,Elementary,Public,587,2014-2015
797359,É Élém C Monseigneur Jean Noël,Elementary,Public,471,2014-2015
695025,É Élém C Monseigneur-Bruyère,Elementary,Public,156,2014-2015
765865,É Élém C Notre-Dame,Elementary,Public,48,2014-2015
705349,É Élém C Pavillon des Jeunes,Elementary,Public,428,2014-2015
768138,É Élém C Saint-Ambroise,Elementary,Public,101,2014-2015
774901,É Élém C Saint-Antoine,Elementary,Public,313,2014-2015
787515,É Élém C Saint-Edmond,Elementary,Public,229,2014-2015
791288,É Élém C Saint-Francis,Elementary,Public,142,2014-2015
792187,É Élém C Saint-François-Xavier,Elementary,Public,59,2014-2015
804150,É Élém C Saint-Jean-Baptiste,Elementary,Public,387,2014-2015
715539,É Élém C Saint-Jean-de-Brébeuf,Elementary,Public,340,2014-2015
832626,É Élém C Saint-Michel,Elementary,Public,564,2014-2015
863009,É Élém C Saint-Paul,Elementary,Public,154,2014-2015
845639,É Élém C Saint-Philippe,Elementary,Public,151,2014-2015
855375,É Élém C Saint-Thomas-d'Aquin,Elementary,Public,294,2014-2015
861170,É Élém C Sainte-Catherine,Elementary,Public,226,2014-2015
730327,É Élém C Sainte-Marguerite-Bourgeoys,Elementary,Public,399,2014-2015
822540,É Élém C Sainte-Marie,Elementary,Public,335,2014-2015
863394,É Élém C Sainte-Thérèse,Elementary,Public,505,2014-2015
863726,É Élém C Sainte-Ursule,Elementary,Public,205,2014-2015
728659,É Élém C St-Dominique-Savio,Elementary,Public,179,2014-2015
701777,É Élém C Ste-Jeanne-d'Arc,Elementary,Public,258,2014-2015
761907,É Élém C Ste-Marguerite-d'Youville,Elementary,Public,422,2014-2015
704717,ÉS C E.J.Lajeunesse,Secondary,Public,389,2014-2015
728772,ÉS C l'Essor,Secondary,Public,648,2014-2015
708500,ÉS C École secondaire Monseigneur-Bruyère,Secondary,Public,198,2014-2015
705438,ÉS C École secondaire Notre-Dame,Secondary,Public,54,2014-2015
705101,ÉS C École secondaire Saint-Dominique-Savio,Secondary,Public,21,2014-2015
791601,ÉS C École secondaire Saint-François-Xavier,Secondary,Public,117,2014-2015
707015,ÉS C École secondaire de Pain Court,Secondary,Public,219,2014-2015
199761,Académie La Pinède,Elementary,Public,66,2014-2015
165468,Académie de la Moraine,Elementary,Public,215,2014-2015
165409,Académie de la Tamise,Elementary,Public,294,2014-2015
918997,Collège français secondaire,Secondary,Public,196,2014-2015
117382,Collège français élémentaire,Elementary,Public,97,2014-2015
023549,É Élém Académie Alexandre-Dumas,Elementary,Public,165,2014-2015
156167,É Élém Antonine Maillet,Elementary,Public,185,2014-2015
165441,É Élém Carrefour des Jeunes,Elementary,Public,474,2014-2015
004367,É Élém Champlain,Elementary,Public,95,2014-2015
447621,É Élém Charles-Sauriol,Elementary,Public,217,2014-2015
165204,É Élém Confédération,Elementary,Public,39,2014-2015
532816,É Élém Franco-Jeunesse,Elementary,Public,15,2014-2015
194069,É Élém Félix-Leclerc,Elementary,Public,285,2014-2015
165212,É Élém Gabriel-Dumont,Elementary,Public,109,2014-2015
