"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"1705","2018-2019","883700","Halton Waldorf School","Elem/Sec",90,95,5,5,NA,NA,195
"1706","2018-2019","885060","Hamilton Academy of Performing Arts","Elem/Sec",5,5,5,5,NA,15,20
"1707","2018-2019","885541","Hamilton District Christian Private Scho","Secondary",NA,NA,230,225,230,225,455
"1708","2018-2019","884101","Hamilton Downtown Islamic School","Elementary",25,30,NA,NA,25,30,55
"1709","2018-2019","885550","Hamilton Hebrew Academy Zichron Meir","Elementary",70,60,NA,NA,70,60,130
"1710","2018-2019","883788","Hamilton Hebrew High","Secondary",NA,NA,5,5,NA,NA,10
"1711","2018-2019","665843","Hanson High School","Secondary",NA,NA,25,20,25,20,45
"1712","2018-2019","667529","Harvest Preparatory Academy","Elem/Sec",5,NA,5,NA,NA,NA,10
"1713","2018-2019","886067","Harvesters Christian School","Elementary",5,10,NA,NA,NA,10,15
"1714","2018-2019","884596","Harwood Montessori School Inc","Elementary",20,20,NA,NA,20,20,40
"1715","2018-2019","884685","Hatch House Montessori","Elementary",15,25,NA,NA,15,25,40
"1716","2018-2019","888814","Haven International School","Elem/Sec",NA,NA,5,5,NA,NA,10
"1717","2018-2019","887242","Havergal College","Elem/Sec",NA,460,NA,575,NA,1035,1035
"1718","2018-2019","884863","Hawthorn School for Girls","Elem/Sec",5,60,NA,30,NA,90,95
"1719","2018-2019","889971","Headwater Hills Montessori School","Elementary",15,5,NA,NA,15,NA,20
"1720","2018-2019","884186","Headwaters Academy","Elementary",15,5,NA,NA,15,NA,20
"1721","2018-2019","876500","Heritage Academy","Elem/Sec",40,15,35,5,75,NA,95
"1722","2018-2019","880078","Heritage Christian Academy","Elem/Sec",45,35,10,20,55,55,110
"1723","2018-2019","880272","Heritage Christian School","Elementary",40,35,NA,NA,40,35,75
"1724","2018-2019","875864","Heritage Christian School","Elem/Sec",240,240,80,85,320,320,645
"1725","2018-2019","885053","Heritage Community Christian School","Elementary",35,40,NA,NA,35,40,75
"1726","2018-2019","668493","Heritage International School","Elem/Sec",5,5,5,10,NA,NA,25
"1727","2018-2019","881112","Hidden Valley Amish Private School","Elementary",15,10,NA,NA,15,10,25
"1728","2018-2019","886601","High Five Academy for Learning","Elementary",15,25,NA,NA,15,25,40
"1729","2018-2019","880833","High Park Gardens Montessori School","Elementary",55,55,NA,NA,55,55,110
"1730","2018-2019","668650","Higher Marks Educational Institute","Elem/Sec",15,5,5,5,NA,10,30
"1731","2018-2019","882713","Highland Academy of Canada","Secondary",NA,NA,20,10,20,10,30
"1732","2018-2019","882850","Hill Academy, The","Elem/Sec",30,5,140,25,170,NA,200
"1733","2018-2019","880698","Hillcrest Private School","Elementary",10,5,NA,NA,10,NA,15
"1734","2018-2019","885568","Hillfield Strathallan College","Elem/Sec",320,290,245,240,565,530,1095
"1735","2018-2019","888184","Hillview Christian Day School","Elem/Sec",5,10,5,5,10,NA,25
"1736","2018-2019","875660","Hitherfield School","Elementary",35,35,NA,NA,35,35,70
"1737","2018-2019","665275","Holy Family Achievement School of Academ","Elem/Sec",5,NA,5,5,NA,NA,15
"1738","2018-2019","665226","Holy Name of Mary College School","Elem/Sec",NA,70,NA,170,NA,240,240
"1739","2018-2019","881481","Holy Trinity School","Elem/Sec",200,210,165,165,365,375,740
"1740","2018-2019","668940","Holyrood East Parochial School","Elementary",5,10,NA,NA,NA,10,15
"1741","2018-2019","666081","Hope Academy","Elementary",5,5,NA,NA,NA,NA,10
"1742","2018-2019","884793","Hope Reformed Christian School","Elem/Sec",55,50,15,5,70,NA,125
"1743","2018-2019","883750","Horizons Secondary School","Elem/Sec",NA,NA,20,5,20,NA,25
"1744","2018-2019","878227","Howick Maples Parochial School","Elementary",25,30,NA,NA,25,30,55
"1745","2018-2019","665703","Howlett Academy","Elementary",60,60,NA,NA,60,60,120
"1746","2018-2019","879258","Huamei-Bond International College","Secondary",NA,NA,80,70,80,70,150
"1747","2018-2019","666661","Hudson College","Elem/Sec",115,80,75,70,190,150,340
"1748","2018-2019","875996","Humberside Montessori School","Elementary",165,130,NA,NA,165,130,295
"1749","2018-2019","883001","Hummingbird Montessori School","Elementary",5,15,NA,NA,NA,15,20
"1750","2018-2019","885304","Huron Christian School","Elementary",85,85,NA,NA,85,85,170
"1751","2018-2019","885212","Huron Hills Parochial School","Elementary",5,10,NA,NA,NA,10,15
"1752","2018-2019","885965","I am Smart S-Cool!","Elementary",5,5,NA,NA,NA,NA,10
"1753","2018-2019","888839","IQRA Academy","Secondary",NA,NA,50,30,50,30,80
"1754","2018-2019","878049","IQRA Islamic School","Elementary",95,95,NA,NA,95,95,190
"1755","2018-2019","667586","ISM Elementary School","Elementary",15,30,NA,NA,15,30,45
"1756","2018-2019","665401","ISNA High School","Secondary",NA,NA,115,120,115,120,235
"1757","2018-2019","882925","ISNA Islamic School","Elementary",180,180,NA,NA,180,180,360
"1758","2018-2019","885070","Immanuel Christian School","Elementary",60,60,NA,NA,60,60,120
"1759","2018-2019","885940","Immanuel Christian School","Elementary",30,25,NA,NA,30,25,55
"1760","2018-2019","881662","Immigrants Working Centre - IWC Academy","Secondary",NA,NA,5,20,NA,20,25
"1761","2018-2019","884979","Imperial College of Toronto","Secondary",NA,NA,10,5,10,NA,15
"1762","2018-2019","884337","Inception Academy","Secondary",NA,NA,10,10,10,10,20
"1763","2018-2019","665962","Infinity School","Elementary",15,5,NA,NA,15,NA,20
"1764","2018-2019","886638","Innocent Hearts Secondary School","Secondary",NA,NA,40,30,40,30,70
"1765","2018-2019","667688","Innocent Hearts Secondary School (Miss)","Secondary",NA,NA,5,5,NA,NA,10
"1766","2018-2019","667661","Innova Academy","Elem/Sec",40,40,5,5,NA,NA,90
"1767","2018-2019","880844","Insight Academy of Canada","Elem/Sec",10,5,5,5,NA,NA,25
"1768","2018-2019","887642","Inspiration Private School - Markham","Secondary",NA,NA,5,5,NA,NA,10
"1769","2018-2019","669893","Inspiration Private School - Oakville","Secondary",NA,NA,5,NA,NA,NA,5
"1770","2018-2019","882222","Institute of Canadian Education","Secondary",NA,NA,5,5,NA,NA,10
"1771","2018-2019","882483","Integral High School","Secondary",NA,NA,5,5,NA,NA,10
"1772","2018-2019","876402","International School of Cambridge","Elementary",40,60,NA,NA,40,60,100
"1773","2018-2019","877280","Intola Baptist Church","Elem/Sec",5,5,5,5,NA,NA,20
"1774","2018-2019","669130","Iqra Nejasni Islamic School","Elementary",15,10,NA,NA,15,10,25
"1775","2018-2019","665419","Islamic Education Guidance Centre","Elementary",45,40,NA,NA,45,40,85
"1776","2018-2019","876321","Islamic Foundation School","Elementary",230,250,NA,NA,230,250,480
"1777","2018-2019","667492","Islamic Foundation School - Durham","Elementary",90,110,NA,NA,90,110,200
"1778","2018-2019","883867","Islamic Institute Al-Rashid","Elem/Sec",75,20,95,5,170,NA,195
"1779","2018-2019","880343","Islamic Institute of Toronto Academy","Elementary",125,100,NA,NA,125,100,225
"1780","2018-2019","878375","Islamic School of Hamilton","Elementary",70,110,NA,NA,70,110,180
"1781","2018-2019","666276","Issachar Christian Academy","Elementary",20,30,NA,NA,20,30,50
"1782","2018-2019","666092","J Addison School","Elem/Sec",15,20,100,90,120,105,225
"1783","2018-2019","665073","JEI Learning Center","Elementary",40,35,NA,NA,40,35,75
"1784","2018-2019","885297","JEI Learning Center - Greensborough","Elementary",25,15,NA,NA,25,15,40
