"","Academic Year","School Number","School Name","School Level","Elementary Male Enrolment","Elementary Female Enrolment","Secondary Male Enrolment","Secondary Female Enrolment","Total Male Enrolment","Total Female Enrolment","total"
"4980","2015-2016","884634","Beaver Valley Parochial School","Elementary",19,11,NA,NA,19,11,30
"4981","2015-2016","668367","Beaverbrook Math Academy","Secondary",NA,NA,5,24,5,24,29
"4982","2015-2016","887455","Beechvale Parochial School","Elementary",12,5,NA,NA,12,5,17
"4983","2015-2016","666432","Behaviour Innovations, Children's Colleg","Elementary",10,5,NA,NA,10,5,15
"4984","2015-2016","886521","Belleville District Christian School","Elementary",40,33,NA,NA,40,33,73
"4985","2015-2016","886209","Belleville Montessori School","Elementary",15,13,NA,NA,15,13,28
"4986","2015-2016","667602","Berean Baptist Church and Academy","Elem/Sec",14,11,5,5,NA,NA,35
"4987","2015-2016","885386","Berkshire Collegiate Institute","Secondary",NA,NA,5,NA,5,NA,5
"4988","2015-2016","887196","Beth Jacob Private School","Secondary",NA,NA,NA,223,NA,223,223
"4989","2015-2016","889024","Bethel Baptist Academy","Elem/Sec",5,5,NA,NA,5,5,10
"4990","2015-2016","667698","Beyond Montessori School Inc.","Elementary",20,14,NA,NA,20,14,34
"4991","2015-2016","887200","Bialik Hebrew Day School","Elementary",476,495,NA,NA,476,495,971
"4992","2015-2016","884706","Bibleway Ministries Christian Learning C","Elementary",5,5,NA,NA,5,5,10
"4993","2015-2016","663582","Bimose Community High School","Secondary",NA,NA,18,17,18,17,35
"4994","2015-2016","885865","Birchas Shmuel","Elem/Sec",NA,NA,20,NA,20,NA,20
"4995","2015-2016","668260","Birmingham Int'l Collegiate of Can","Secondary",NA,NA,70,64,70,64,134
"4996","2015-2016","883808","Bishop Hamilton Montessori School","Elementary",59,54,NA,NA,59,54,113
"4997","2015-2016","886840","Bishop Strachan School, The","Elem/Sec",NA,436,NA,477,NA,913,913
"4998","2015-2016","668131","Black Creek Parochial","Elementary",19,5,NA,NA,19,5,24
"4999","2015-2016","888893","Blaisdale Montessori","Elementary",528,566,NA,NA,528,566,1094
"5000","2015-2016","669713","Blue Crescent School","Elementary",17,12,NA,NA,17,12,29
"5001","2015-2016","884414","Blue Gene Education","Secondary",NA,NA,12,11,12,11,23
"5002","2015-2016","885589","Blyth Academy - Barrie","Elem/Sec",5,5,23,11,NA,NA,44
"5003","2015-2016","887422","Blyth Academy - Burlington","Elem/Sec",5,5,47,27,NA,NA,84
"5004","2015-2016","669196","Blyth Academy - Lawrence Park East","Secondary",NA,NA,5,5,5,5,10
"5005","2015-2016","883574","Blyth Academy - Lawrence Park West","Secondary",NA,NA,94,89,94,89,183
"5006","2015-2016","668286","Blyth Academy - London","Secondary",NA,NA,45,29,45,29,74
"5007","2015-2016","885785","Blyth Academy - London Elementary","Elementary",13,NA,NA,NA,13,NA,13
"5008","2015-2016","885121","Blyth Academy - Ottawa","Elem/Sec",NA,NA,56,44,56,44,100
"5009","2015-2016","666899","Blyth Academy - Whitby","Elem/Sec",5,5,28,18,NA,NA,56
"5010","2015-2016","888339","Blyth Academy @ CIHA","Elem/Sec",NA,NA,58,15,58,15,73
"5011","2015-2016","883890","Blyth Academy Mississauga - Adamson","Secondary",NA,NA,61,61,61,61,122
"5012","2015-2016","882941","Blyth Academy Mississauga - Cawthra","Elem/Sec",5,5,18,5,NA,5,33
"5013","2015-2016","666143","Blyth Academy Thornhill","Secondary",NA,NA,46,49,46,49,95
"5014","2015-2016","666580","Blyth Academy Yorkville","Secondary",NA,NA,103,86,103,86,189
"5015","2015-2016","888885","Bnei Akiva School - Ulpanat Orot","Secondary",NA,NA,NA,100,NA,100,100
"5016","2015-2016","883749","Bnei Akiva School - Yeshivat Or Chaim","Secondary",NA,NA,98,NA,98,NA,98
"5017","2015-2016","878766","Bnos Bais Yaakov High School","Secondary",NA,NA,NA,82,NA,82,82
"5018","2015-2016","665690","Bond Academy","Elem/Sec",75,57,16,10,91,67,158
"5019","2015-2016","879059","Bond Canadian Academy - Shanghai","Elem/Sec",NA,NA,5,5,5,5,10
"5020","2015-2016","883417","Bond International College","Secondary",NA,NA,156,136,156,136,292
"5021","2015-2016","881534","Bonnechere Valley","Elementary",5,13,NA,NA,5,13,18
"5022","2015-2016","879363","Boren Sino-Canadian School","Secondary",NA,NA,126,116,126,116,242
"5023","2015-2016","882190","Brackendale Montessori","Elementary",63,42,NA,NA,63,42,105
"5024","2015-2016","876909","Braemar College","Secondary",NA,NA,124,90,124,90,214
"5025","2015-2016","877450","Braemar House School","Elementary",48,59,NA,NA,48,59,107
"5026","2015-2016","883588","Brain Power","Secondary",NA,NA,5,5,5,5,10
"5027","2015-2016","669461","Brainiacs Academy","Secondary",NA,NA,5,5,5,5,10
"5028","2015-2016","889814","Brampton Christian School","Elem/Sec",175,164,100,86,275,250,525
"5029","2015-2016","886912","Branksome Hall","Elem/Sec",NA,431,NA,455,NA,886,886
"5030","2015-2016","885193","Brantford Christian School","Elementary",96,106,NA,NA,96,106,202
"5031","2015-2016","665667","Brentway Academy Inc","Elementary",19,21,NA,NA,19,21,40
"5032","2015-2016","878120","Bright Horizons Montessori School","Elementary",5,5,NA,NA,5,5,10
"5033","2015-2016","669755","Bright Start Academy","Elem/Sec",NA,NA,5,5,5,5,10
"5034","2015-2016","667926","Bright Start Academy  JR","Elementary",11,5,NA,NA,11,5,16
"5035","2015-2016","667145","Brighton","Elem/Sec",30,17,15,5,45,NA,67
"5036","2015-2016","669584","Bronston Canadian Academy","Elem/Sec",5,5,18,39,NA,NA,67
"5037","2015-2016","875112","Bronte College","Secondary",NA,NA,225,192,225,192,417
"5038","2015-2016","889784","Brooke Valley School","Elementary",5,5,NA,NA,5,5,10
"5039","2015-2016","666831","Brooklin Mill Montessori School Inc","Elementary",42,49,NA,NA,42,49,91
"5040","2015-2016","668564","Brooklyn College","Secondary",NA,NA,78,60,78,60,138
"5041","2015-2016","666817","Brooklyn Markham","Secondary",NA,NA,21,20,21,20,41
"5042","2015-2016","883107","Brookside Christian School","Elem/Sec",27,32,5,5,NA,NA,69
"5043","2015-2016","888168","Brookside Parochial School","Elementary",16,23,NA,NA,16,23,39
"5044","2015-2016","665400","Brussels Old Colony Christian School","Elementary",44,59,NA,NA,44,59,103
"5045","2015-2016","889040","Burlington Christian Academy","Elementary",77,67,NA,NA,77,67,144
"5046","2015-2016","667951","Byron Woods Montessori","Elementary",22,17,NA,NA,22,17,39
"5047","2015-2016","888573","CC Visionary Centre","Elementary",5,5,NA,NA,5,5,10
"5048","2015-2016","886029","CLI","Secondary",NA,NA,5,NA,5,NA,5
"5049","2015-2016","669618","CYN Jewish Academy","Secondary",NA,NA,28,27,28,27,55
"5050","2015-2016","882720","Calton Christian School","Elem/Sec",31,31,5,5,NA,NA,72
"5051","2015-2016","878260","Calvary Christian Academy","Elem/Sec",79,61,5,5,NA,NA,150
"5052","2015-2016","881783","Calvary Christian School","Elementary",75,80,NA,NA,75,80,155
"5053","2015-2016","885509","Calvin Christian School","Elementary",256,247,NA,NA,256,247,503
"5054","2015-2016","666360","Cambridge Academy - Markham","Secondary",NA,NA,13,5,13,5,18
"5055","2015-2016","887862","Cambridge Christian Elementary School","Elementary",105,135,NA,NA,105,135,240
"5056","2015-2016","889979","Cambridge International Academy","Elem/Sec",NA,NA,21,5,21,5,26
"5057","2015-2016","666590","Can-AIM High School","Secondary",NA,NA,16,13,16,13,29
"5058","2015-2016","667014","Can-Lakeshore Academy","Secondary",NA,NA,23,5,23,5,28
"5059","2015-2016","666467","Canada Christian Academy","Elem/Sec",16,5,5,5,NA,10,31
"5060","2015-2016","666769","Canada International College","Elem/Sec",NA,NA,88,41,88,41,129
"5061","2015-2016","886412","Canada Prep Academy","Secondary",NA,NA,46,NA,46,NA,46
"5062","2015-2016","886476","Canada TEMS Academy","Secondary",NA,NA,5,5,5,5,10
"5063","2015-2016","886980","Canada's National Ballet","Elem/Sec",27,52,20,39,47,91,138
"5064","2015-2016","669784","Canadian Academy of Secondary Studies","Secondary",NA,NA,5,14,5,14,19
"5065","2015-2016","668924","Canadian Christian Academy","Elem/Sec",27,19,12,19,39,38,77
"5066","2015-2016","879142","Canadian College Italy","Secondary",NA,NA,11,21,11,21,32
"5067","2015-2016","882181","Canadian Independent College","Secondary",NA,NA,33,29,33,29,62
"5068","2015-2016","879134","Canadian Int'l School of Hong Kong","Secondary",NA,NA,275,249,275,249,524
"5069","2015-2016","879347","Canadian International Academy","Secondary",NA,NA,40,18,40,18,58
"5070","2015-2016","879304","Canadian International School of Egypt","Secondary",NA,NA,92,65,92,65,157
"5071","2015-2016","669070","Canadian Nobel Academy","Secondary",NA,NA,46,54,46,54,100
"5072","2015-2016","668613","Canadian Online High School","Secondary",NA,NA,18,17,18,17,35
"5073","2015-2016","881450","Canadian Top Academy","Secondary",NA,NA,57,45,57,45,102
"5074","2015-2016","879282","Canadian Trillium College","Secondary",NA,NA,65,75,65,75,140
"5075","2015-2016","668407","CareerQuest - Brampton","Secondary",NA,NA,5,5,5,5,10
"5076","2015-2016","883369","CareerQuest - Mississauga","Secondary",NA,NA,5,NA,5,NA,5
"5077","2015-2016","666541","CareerQuest - Toronto","Secondary",NA,NA,5,5,5,5,10
"5078","2015-2016","668752","CareerQuest - Vaughan","Secondary",NA,NA,5,NA,5,NA,5
"5079","2015-2016","879266","Caribbean International Academy","Secondary",NA,NA,51,52,51,52,103
"5080","2015-2016","886653","Carmel New Church School","Elem/Sec",11,18,5,5,NA,NA,39
"5081","2015-2016","882950","Cathedral Christian Academy","Elementary",38,32,NA,NA,38,32,70
"5082","2015-2016","668792","Cedar Echo Parochial School","Elementary",13,18,NA,NA,13,18,31
"5083","2015-2016","887439","Cedar Grove Christian Day School","Elementary",22,18,NA,NA,22,18,40
"5084","2015-2016","882985","Cedar Heights Parochial School","Elementary",18,12,NA,NA,18,12,30
"5085","2015-2016","880639","Cedar Springs Parochial School","Elementary",26,19,NA,NA,26,19,45
"5086","2015-2016","880334","Cedar Valley School","Elem/Sec",16,13,5,NA,NA,13,34
"5087","2015-2016","880094","Central Baptist Academy","Elem/Sec",84,100,NA,NA,84,100,184
"5088","2015-2016","877727","Central Montessori Schools","Elementary",246,197,NA,NA,246,197,443
"5089","2015-2016","877883","Centre Kinloss Parochial School","Elementary",5,5,NA,NA,5,5,10
"5090","2015-2016","882333","Century Private School","Elementary",50,49,NA,NA,50,49,99
"5091","2015-2016","669694","Century Private School HS","Secondary",NA,NA,5,5,5,5,10
"5092","2015-2016","882672","Charing Cross Christian School","Elementary",30,32,NA,NA,30,32,62
"5093","2015-2016","885282","Chatham Christian","Elementary",87,108,NA,NA,87,108,195
"5094","2015-2016","888540","Chatham Christian High School","Secondary",NA,NA,32,30,32,30,62
"5095","2015-2016","669807","Cheder Menachem Plus","Elementary",5,NA,NA,NA,5,NA,5
"5096","2015-2016","663360","Chief Simeon McKay Education Centre","Elem/Sec",NA,NA,14,24,14,24,38
"5097","2015-2016","877824","Children's Garden Junior School","Elementary",38,34,NA,NA,38,34,72
"5098","2015-2016","878847","Children's House Montessori, The","Elementary",17,5,NA,NA,17,5,22
"5099","2015-2016","878138","Children's Montessori School, The","Elementary",46,67,NA,NA,46,67,113
"5100","2015-2016","888699","Chisholm Academy","Elem/Sec",12,5,55,27,67,NA,99
"5101","2015-2016","881375","Christadelphian Heritage College","Elementary",12,15,NA,NA,12,15,27
"5102","2015-2016","887684","Christian Academy of Western Ontario","Elementary",93,105,NA,NA,93,105,198
"5103","2015-2016","888612","Church of God Christian","Elem/Sec",30,34,14,18,44,52,96
"5104","2015-2016","878758","City Academy","Secondary",NA,NA,43,40,43,40,83
"5105","2015-2016","877921","Clanmore Montessori School","Elementary",76,68,NA,NA,76,68,144
"5106","2015-2016","883818","Claremont School, The","Elementary",31,22,NA,NA,31,22,53
"5107","2015-2016","888176","Clear View Private School","Elementary",11,5,NA,NA,11,5,16
"5108","2015-2016","886246","Clearview Parochial","Elementary",24,15,NA,NA,24,15,39
"5109","2015-2016","885627","Clifford Amish Parochial #2","Elementary",13,5,NA,NA,13,5,18
"5110","2015-2016","665509","Clifford Amish Parochial No 1","Elementary",5,11,NA,NA,5,11,16
"5111","2015-2016","665597","Clinton International College","Secondary",NA,NA,23,17,23,17,40
"5112","2015-2016","876682","Colin MacDonald Alternative School","Elementary",18,5,NA,NA,18,5,23
"5113","2015-2016","887552","College Park Elementary School","Elementary",98,94,NA,NA,98,94,192
"5114","2015-2016","880183","Columbia International College of Canada","Elem/Sec",13,16,1111,884,1124,900,2024
"5115","2015-2016","879061","Columbia International School of Japan","Secondary",NA,NA,40,36,40,36,76
"5116","2015-2016","669701","Columbus Private School","Elementary",16,13,NA,NA,16,13,29
"5117","2015-2016","881198","Community Christian School","Elementary",32,27,NA,NA,32,27,59
"5118","2015-2016","885380","Community Christian School","Elementary",42,53,NA,NA,42,53,95
"5119","2015-2016","665762","Community Hebrew Academy of Toronto","Secondary",NA,NA,233,216,233,216,449
"5120","2015-2016","888319","Concord College of Canada","Secondary",NA,NA,5,5,5,5,10
"5121","2015-2016","877832","Corinth Christian School","Elem/Sec",25,21,5,5,NA,NA,56
"5122","2015-2016","669233","Cornell International Academy","Secondary",NA,NA,5,5,5,5,10
"5123","2015-2016","886395","Cornerstone Christian School","Elementary",41,43,NA,NA,41,43,84
"5124","2015-2016","880825","Cornerstone Christian School","Elem/Sec",14,17,5,5,NA,NA,41
"5125","2015-2016","889431","Cornerstone Christian School","Elem/Sec",5,5,NA,5,5,5,15
"5126","2015-2016","880770","Cornerstone Montessori Prep School - Don","Elem/Sec",40,36,NA,NA,40,36,76
"5127","2015-2016","875376","Cornerstone Preparatory - Main","Elem/Sec",33,33,12,5,45,NA,83
"5128","2015-2016","877425","Country Garden Montessori Academy","Elem/Sec",33,24,12,12,45,36,81
"5129","2015-2016","889741","Countryside Christian School","Elem/Sec",78,59,25,22,103,81,184
"5130","2015-2016","876550","Countryside Montessori Private School","Elementary",53,56,NA,NA,53,56,109
"5131","2015-2016","884804","Covenant Christian School","Elementary",92,84,NA,NA,92,84,176
"5132","2015-2016","889318","Covenant Christian School","Elementary",55,67,NA,NA,55,67,122
"5133","2015-2016","882947","Crawford Adventist Academy (East Campus)","Elementary",35,37,NA,NA,35,37,72
"5134","2015-2016","887293","Crawford Adventist Academy High School","Elem/Sec",117,117,56,70,173,187,360
"5135","2015-2016","880809","Credo Christian School","Elementary",19,26,NA,NA,19,26,45
"5136","2015-2016","878405","Creek Bank Parochial","Elementary",5,13,NA,NA,5,13,18
"5137","2015-2016","887161","Crescent School, The","Elem/Sec",350,NA,366,NA,716,NA,716
"5138","2015-2016","665266","Crestwood Preparatory College Inc.","Elem/Sec",56,40,197,126,253,166,419
"5139","2015-2016","881570","Crestwood School","Elementary",195,137,NA,NA,195,137,332
"5140","2015-2016","882866","Crown Academic International School","Secondary",NA,NA,33,30,33,30,63
"5141","2015-2016","668728","Dalton School, The","Elementary",19,21,NA,NA,19,21,40
"5142","2015-2016","889900","Darul Arqam Islamic Academy","Elementary",5,5,NA,NA,5,5,10
"5143","2015-2016","880921","Darul-Uloom Canada - Chatham","Elem/Sec",40,21,17,NA,57,21,78
"5144","2015-2016","668888","Darwin International Academy","Secondary",NA,NA,5,5,5,5,10
"5145","2015-2016","886939","De La Salle College","Elem/Sec",97,105,203,227,300,332,632
"5146","2015-2016","666168","Dearcroft Montessori School","Elementary",58,53,NA,NA,58,53,111
"5147","2015-2016","666890","Debbie Campbell Learning Academy","Elem/Sec",5,NA,5,5,5,5,15
"5148","2015-2016","663344","Deer Lake First Nations","Elem/Sec",NA,NA,10,10,10,10,20
"5149","2015-2016","879037","Delia School of Canada","Secondary",NA,NA,156,156,156,156,312
"5150","2015-2016","667072","Delores D. Echum Composite","Elem/Sec",NA,NA,84,71,84,71,155
"5151","2015-2016","667561","Delta Academy Inc","Secondary",NA,NA,33,113,33,113,146
"5152","2015-2016","663921","Dennis Franklin Cromarty High School","Secondary",NA,NA,60,54,60,54,114
"5153","2015-2016","666130","Deutsche Schule Toronto","Elementary",28,28,NA,NA,28,28,56
"5154","2015-2016","668563","Dewey College","Elem/Sec",NA,NA,33,21,33,21,54
"5155","2015-2016","884239","Discipleship Christian Secondary","Secondary",NA,NA,10,11,10,11,21
"5156","2015-2016","886754","Discovering Minds Montessori Preschool I","Elementary",18,18,NA,NA,18,18,36
"5157","2015-2016","884964","Discovery Academy Inc","Elem/Sec",28,21,94,76,122,97,219
"5158","2015-2016","666270","Don Valley Academy","Secondary",NA,NA,39,26,39,26,65
"5159","2015-2016","877166","Donegal Community Christian School","Elem/Sec",37,47,5,5,NA,NA,94
"5160","2015-2016","665274","Dragon Academy, The","Elem/Sec",11,5,31,10,42,NA,57
"5161","2015-2016","884553","Dresden Private Mennonite School","Elementary",100,85,NA,NA,100,85,185
"5162","2015-2016","887714","Dufferin Area Christian School","Elementary",55,55,NA,NA,55,55,110
"5163","2015-2016","668454","Duke Academy","Secondary",NA,NA,25,5,25,5,30
"5164","2015-2016","887951","Dunblaine School, The","Elementary",17,12,NA,NA,17,12,29
"5165","2015-2016","667206","Duncan Academy, The","Secondary",NA,NA,37,25,37,25,62
"5166","2015-2016","669699","Dundas Valley Montessori School","Elementary",53,54,NA,NA,53,54,107
"5167","2015-2016","888575","Dunnville Christian Private Elementary","Elementary",91,61,NA,NA,91,61,152
"5168","2015-2016","887544","Durham Christian High School","Secondary",NA,NA,49,36,49,36,85
"5169","2015-2016","668038","Durham Elementary Private School","Elementary",40,32,NA,NA,40,32,72
"5170","2015-2016","884452","ELPIS COLLEGE TORONTO","Secondary",NA,NA,30,11,30,11,41
"5171","2015-2016","885597","Eagles' Nest Christian Academy","Elem/Sec",5,5,NA,5,5,5,15
"5172","2015-2016","665297","Early Years Education System","Elementary",5,5,NA,NA,5,5,10
"5173","2015-2016","885860","East Dorking Parochial School","Elementary",23,19,NA,NA,23,19,42
"5174","2015-2016","887560","East Heidelberg Parochial School","Elementary",18,18,NA,NA,18,18,36
"5175","2015-2016","882251","Eastern Canada High School","Elem/Sec",NA,NA,20,19,20,19,39
"5176","2015-2016","886130","Eben-Ezer Christian School","Elementary",14,18,NA,NA,14,18,32
"5177","2015-2016","884292","Eben-ezer Christian School","Elem/Sec",5,5,NA,NA,5,5,10
"5178","2015-2016","668010","Edelweiss Private Academy","Elementary",5,5,NA,NA,5,5,10
"5179","2015-2016","883964","Edge Hill Country School","Elementary",15,14,NA,NA,15,14,29
"5180","2015-2016","663492","Eenchokay Birchstick","Elem/Sec",NA,NA,50,37,50,37,87
"5181","2015-2016","887234","Eitz Chaim Schools - Patricia School","Elementary",389,441,NA,NA,389,441,830
"5182","2015-2016","881106","Elements of Knowledge","Secondary",NA,NA,5,5,5,5,10
"5183","2015-2016","667085","Elite Academic School","Secondary",NA,NA,12,5,12,5,17
"5184","2015-2016","883299","Elite E-academy","Secondary",NA,NA,5,5,5,5,10
"5185","2015-2016","889246","Elite Montessori School","Elementary",20,13,NA,NA,20,13,33
"5186","2015-2016","666327","Ellesmere Montessori School Inc","Elementary",23,17,NA,NA,23,17,40
"5187","2015-2016","875562","Ellington Montessori School","Elementary",42,26,NA,NA,42,26,68
"5188","2015-2016","876593","Elm Creek Parochial School","Elementary",25,16,NA,NA,25,16,41
"5189","2015-2016","665568","Elmira North Parochial School","Elementary",18,15,NA,NA,18,15,33
"5190","2015-2016","886300","Elmwood School","Elem/Sec",NA,193,NA,174,NA,367,367
"5191","2015-2016","881651","Elora Road Christian School","Elementary",57,44,NA,NA,57,44,101
"5192","2015-2016","881900","Elpis College","Secondary",NA,NA,13,5,13,5,18
"5193","2015-2016","667463","Emmanuel Christian Academy","Elementary",5,15,NA,NA,5,15,20
"5194","2015-2016","889776","Emmanuel Christian High School","Secondary",NA,NA,86,87,86,87,173
"5195","2015-2016","665827","English for International Communication","Elementary",5,11,NA,NA,5,11,16
"5196","2015-2016","880789","Enrichment Secondary School","Secondary",NA,NA,5,5,5,5,10
"5197","2015-2016","889027","Erudite School","Elementary",5,5,NA,NA,5,5,10
"5198","2015-2016","881135","Eureka Montessori","Elementary",5,5,NA,NA,5,5,10
"5199","2015-2016","668651","Everest Academy","Elem/Sec",48,5,87,20,135,NA,160
"5200","2015-2016","669311","Excel High School","Secondary",NA,NA,12,5,12,5,17
"5201","2015-2016","665835","Exceptional Learning Centre","Elementary",5,5,NA,NA,5,5,10
"5202","2015-2016","888800","Fair Haven Christian Day School","Elem/Sec",38,34,5,5,NA,NA,82
"5203","2015-2016","667608","Fairbanks Parochial School","Elementary",5,10,NA,NA,5,10,15
"5204","2015-2016","888990","Fairview Amish Private School","Elementary",5,12,NA,NA,5,12,17
"5205","2015-2016","665812","Fairview Amish School","Elementary",5,5,NA,NA,5,5,10
"5206","2015-2016","668711","Fairview Glen Montessori","Elementary",40,39,NA,NA,40,39,79
"5207","2015-2016","882224","Faith Christian Academy","Elementary",51,48,NA,NA,51,48,99
"5208","2015-2016","889423","Faithway Baptist Church School","Elem/Sec",32,30,17,20,49,50,99
"5209","2015-2016","888931","Farewell Parochial School","Elementary",22,16,NA,NA,22,16,38
"5210","2015-2016","888664","Fellowship Christian School","Elementary",39,45,NA,NA,39,45,84
"5211","2015-2016","882178","Fern Hill","Elem/Sec",199,165,14,17,213,182,395
"5212","2015-2016","882353","Fern Hill - Burlington","Elem/Sec",76,80,5,12,NA,92,173
"5213","2015-2016","876046","Fern Hill School","Elementary",64,56,NA,NA,64,56,120
"5214","2015-2016","883638","Fernbank Parochial School","Elementary",12,25,NA,NA,12,25,37
"5215","2015-2016","878057","Fieldstone Day School","Elementary",59,37,NA,NA,59,37,96
"5216","2015-2016","885377","Fieldstone King's College School","Secondary",NA,NA,84,54,84,54,138
"5217","2015-2016","877123","First Lutheran Christian Academy","Elementary",48,37,NA,NA,48,37,85
"5218","2015-2016","885622","Floradale Parochial School","Elementary",19,16,NA,NA,19,16,35
"5219","2015-2016","665990","Forest Hill Academy","Secondary",NA,NA,5,5,5,5,10
"5220","2015-2016","668055","Forest Hill Montessori School","Elementary",17,25,NA,NA,17,25,42
"5221","2015-2016","669733","Foundation Christian School","Elementary",63,34,NA,NA,63,34,97
"5222","2015-2016","668218","Four Corners Amish School","Elementary",14,14,NA,NA,14,14,28
"5223","2015-2016","877700","Four Winds Montessori School Inc.","Elementary",5,5,NA,NA,5,5,10
"5224","2015-2016","888320","Fourth Peel Parochial","Elementary",28,15,NA,NA,28,15,43
"5225","2015-2016","663048","Francine J. Wesley Secondary School","Elem/Sec",NA,NA,91,70,91,70,161
"5226","2015-2016","883086","Friendship Amish School","Elementary",15,14,NA,NA,15,14,29
"5227","2015-2016","669256","Fulford Academy","Elem/Sec",5,13,23,19,NA,32,60
"5228","2015-2016","669447","Fulford Preparatory College","Secondary",NA,NA,26,18,26,18,44
"5229","2015-2016","883210","Fullbright Academy","Secondary",NA,NA,12,5,12,5,17
"5230","2015-2016","666114","FutureSkills High School","Secondary",NA,NA,44,65,44,65,109
"5231","2015-2016","889839","GTA Academy","Elementary",5,15,NA,NA,5,15,20
"5232","2015-2016","877786","Gap Academy","Elem/Sec",5,NA,NA,NA,5,NA,5
"5233","2015-2016","887036","Georgian Heights School","Elem/Sec",14,5,NA,NA,14,5,19
"5234","2015-2016","884820","Giles School, The","Elementary",53,74,NA,NA,53,74,127
"5235","2015-2016","883093","Glad Tidings Christian School","Elem/Sec",20,20,5,5,NA,NA,50
"5236","2015-2016","877840","Glebe Montessori School","Elementary",45,43,NA,NA,45,43,88
"5237","2015-2016","882158","Glen Briar Academy","Elementary",5,5,NA,NA,5,5,10
"5238","2015-2016","875066","Glen Meyer Old Colony School","Elementary",55,70,NA,NA,55,70,125
"5239","2015-2016","883476","Glenburnie School Inc","Elementary",90,66,NA,NA,90,66,156
"5240","2015-2016","668436","Glencedar Montessori Private School","Elementary",48,43,NA,NA,48,43,91
"5241","2015-2016","669800","Glenlee Parochial School","Elementary",20,13,NA,NA,20,13,33
"5242","2015-2016","886485","Glenn Arbour Academy","Elementary",70,49,NA,NA,70,49,119
"5243","2015-2016","884849","Global Montessori Day Nursery & Priv.Ele","Elementary",12,14,NA,NA,12,14,26
"5244","2015-2016","884989","Gobind Sarvar Brampton","Elem/Sec",37,37,NA,NA,37,37,74
"5245","2015-2016","885614","Goldstone Parochial School","Elementary",26,17,NA,NA,26,17,43
"5246","2015-2016","665533","Goodwin Learning Centre","Elementary",30,10,NA,NA,30,10,40
"5247","2015-2016","884243","Grace Christian School","Elementary",90,97,NA,NA,90,97,187
"5248","2015-2016","668497","Gradale Academy","Elementary",22,5,NA,NA,22,5,27
"5249","2015-2016","887704","Grade Learning - Etobicoke","Secondary",NA,NA,NA,5,NA,5,5
"5250","2015-2016","882045","Grade Learning - Mississauga Airport","Secondary",NA,NA,11,5,11,5,16
"5251","2015-2016","667811","Grade Learning - Orillia","Secondary",NA,NA,5,NA,5,NA,5
"5252","2015-2016","667131","Grade Learning - Oshawa","Secondary",NA,NA,17,5,17,5,22
"5253","2015-2016","665742","Grade Learning - Richmond Hill","Secondary",NA,NA,5,5,5,5,10
"5254","2015-2016","669853","Grade Learning - Scarborough East","Secondary",NA,NA,5,5,5,5,10
"5255","2015-2016","665579","Grade Learning - Toronto Central","Secondary",NA,NA,5,5,5,5,10
"5256","2015-2016","885533","Grandview Adventist Academy","Elementary",28,34,NA,NA,28,34,62
"5257","2015-2016","885118","Great Lakes Christian High School","Secondary",NA,NA,70,52,70,52,122
"5258","2015-2016","889920","Great Lakes College of Toronto, The","Secondary",NA,NA,95,78,95,78,173
"5259","2015-2016","668641","Green Apple Alternative School","Secondary",NA,NA,5,5,5,5,10
"5260","2015-2016","666793","Green High School","Secondary",NA,NA,24,20,24,20,44
"5261","2015-2016","877891","Greenock Amish Parochial School","Elementary",5,5,NA,NA,5,5,10
"5262","2015-2016","666289","Greenwood College School","Elem/Sec",49,50,165,165,214,215,429
"5263","2015-2016","665009","Gregory School for Exceptional Learning","Elem/Sec",5,NA,5,NA,11,NA,10
"5264","2015-2016","885452","Guelph Community Christian School","Elementary",124,111,NA,NA,124,111,235
"5265","2015-2016","877093","Guelph Montessori School","Elementary",37,29,NA,NA,37,29,66
"5266","2015-2016","665671","Guiding Light Academy","Elementary",17,17,NA,NA,17,17,34
"5267","2015-2016","889164","Guido de Bres Christian High School","Secondary",NA,NA,191,211,191,211,402
"5268","2015-2016","667115","Guru Tegh Bahadur International School","Elem/Sec",33,35,10,5,43,NA,83
"5269","2015-2016","884994","Haadi Elementary School","Elementary",37,40,NA,NA,37,40,77
"5270","2015-2016","885398","Halton Hills Christian School","Elementary",155,129,NA,NA,155,129,284
"5271","2015-2016","883700","Halton Waldorf School","Elementary",84,71,NA,NA,84,71,155
"5272","2015-2016","885060","Hamilton Academy of Performing Arts","Elem/Sec",5,17,NA,5,5,NA,27
"5273","2015-2016","885541","Hamilton District Christian Private Scho","Secondary",NA,NA,231,219,231,219,450
"5274","2015-2016","885550","Hamilton Hebrew Academy Zichron Meir","Elementary",72,50,NA,NA,72,50,122
"5275","2015-2016","883788","Hamilton Hebrew High","Secondary",NA,NA,5,5,5,5,10
"5276","2015-2016","665843","Hanson International Academy","Secondary",NA,NA,12,NA,12,NA,12
"5277","2015-2016","884596","Harwood Montessori School Inc","Elementary",17,17,NA,NA,17,17,34
"5278","2015-2016","884685","Hatch House Montessori","Elementary",30,31,NA,NA,30,31,61
"5279","2015-2016","887242","Havergal College","Elem/Sec",NA,452,NA,520,NA,972,972
"5280","2015-2016","884863","Hawthorn School for Girls","Elem/Sec",5,70,NA,35,5,105,110
"5281","2015-2016","889971","Headwater Hills Montessori School","Elementary",14,14,NA,NA,14,14,28
